Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,00:00,624500124,2564.01,7.99,Large Retailers
01/01/2023,00:00,768271776,2133.0600000000013,7.99,Large Retailers
01/01/2023,00:00,215404070,1922.03,7.99,Large Retailers
01/01/2023,00:00,564744955,814.02,7.99,Large Retailers
01/01/2023,00:00,779816907,567.01,7.99,Large Retailers
01/01/2023,00:00,675806859,428.02,7.99,Large Retailers
01/01/2023,00:00,532525712,1813.02,7.99,Large Retailers
01/01/2023,00:00,836655156,1925.04,7.99,Large Retailers
01/01/2023,00:00,407574996,4435.02,7.99,Large Retailers
01/01/2023,00:00,744211756,645.06,7.99,Large Retailers
01/01/2023,00:00,780859359,1534.02,7.99,Large Retailers
01/01/2023,00:00,494977194,1408.02,7.99,Large Retailers
01/01/2023,00:00,812839908,225.02999999999997,7.99,Large Retailers
01/01/2023,00:00,655730067,667.03,7.99,Large Retailers
01/01/2023,00:00,500051919,622.01,7.99,Large Retailers
01/01/2023,00:00,691843653,499.02,7.99,Large Retailers
01/01/2023,00:00,616924659,2056.0200000000004,7.99,Large Retailers
01/01/2023,00:00,134461671,1160.01,7.99,Large Retailers
01/01/2023,00:00,575652395,825.02,7.99,Large Retailers
01/01/2023,00:00,430910686,571.02,7.99,Large Retailers
01/01/2023,00:00,718058208,1899.03,7.99,Large Retailers
01/01/2023,00:00,637433131,1260.02,7.99,Large Retailers
01/01/2023,00:00,754141345,1835.02,7.99,Large Retailers
01/01/2023,00:00,506618547,797.02,7.99,Large Retailers
01/01/2023,00:00,478986718,-699.99,7.99,Large Retailers
01/01/2023,00:00,298000165,5541.02,7.99,Large Retailers
01/01/2023,00:00,416060965,842.02,7.99,Large Retailers
01/01/2023,00:00,248625662,1706.03,7.99,Large Retailers
01/01/2023,00:00,990461108,1908.01,7.99,Large Retailers
01/01/2023,00:00,975200042,1940.01,7.99,Large Retailers
01/01/2023,00:00,604288474,3018.3200000000006,7.99,Large Retailers
