Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2023,00:00,678330503.0,2971.0,1584.0,,Westport Care Home
01/01/2023,00:00,472213568.0,3792.0,1950.0,,Barbiee Boutique
01/01/2023,00:00,624500124.0,3226.0,1825.0,,Fat Face
01/01/2023,00:00,203466392.0,4607.66,2841.66,,Lavender Primary
01/01/2023,00:00,768271776.0,3620.0,1950.0,,A Cut Above
01/01/2023,00:00,456221621.0,2831.0,1675.0,,Tesco
01/01/2023,00:00,350921975.0,2458.5,1842.5,,Brilliant Brushes
01/01/2023,00:00,455831435.0,3253.1,1620.1,,Costa Coffee
01/01/2023,00:00,832564361.0,5376.0,3542.0,,Premier Finance
01/01/2023,00:00,407574996.0,3151.0,1609.0,,Fat Face
01/01/2023,00:00,172084472.0,2449.0,1943.0,,Westport Care Home
01/01/2023,00:00,442070890.0,4074.1,2648.1,,Lavender Primary
01/01/2023,00:00,744968736.0,3154.0,1584.0,,Westport Care Home
01/01/2023,00:00,865748375.0,4607.0,2773.0,,A Cut Above
01/01/2023,00:00,522188082.0,3611.0,2780.0,,Tesco
01/01/2023,00:00,786141370.0,3066.0,1943.0,,Westport Care Home
01/01/2023,00:00,616924659.0,4292.0,2780.0,,North Face
01/01/2023,00:00,370757362.0,3288.0,1675.0,,Craftastic
01/01/2023,00:00,399144202.0,2860.0,1833.0,,Fitted Stitch
01/01/2023,00:00,637433131.0,2266.0,1706.0,,Westport Care Home
01/01/2023,00:00,754141345.0,3820.0,1943.0,,Westport Care Home
01/01/2023,00:00,119993184.0,3418.0,1712.0,,Westport Care Home
01/01/2023,00:00,298000165.0,6040.0,4167.0,,Selfridges
01/01/2023,00:00,241459011.0,2466.1,1620.1,,Starbucks
01/01/2023,00:00,604288474.0,3946.3,2083.3,,The Crown
01/01/2023,00:00,720742759.0,2317.0,1694.0,,Westport Care Home
01/01/2023,00:00,200080192.0,4046.0,2800.0,,Fat Face
01/01/2023,00:00,183888402.0,4966.0,4167.0,,Fitted Stitch
01/01/2023,00:00,532478725.0,3786.0,1825.0,,Selfridges
01/01/2023,00:00,680773155.0,2806.0,1706.0,,Westport Care Home
01/01/2023,00:00,215426302.0,3488.5,1842.5,,Cass Art
01/01/2023,00:00,285428103.0,3815.1,2648.1,,Green Park Academy
01/01/2023,00:00,925037906.0,3789.0,1833.0,,Selfridges
01/01/2023,00:00,892354433.0,3914.0,2046.0,,Selfridges
01/01/2023,00:00,820686957.0,2696.0,1675.0,,Rose & Crown
01/01/2023,00:00,145387690.0,2444.0,1675.0,,The Crown
01/01/2023,00:00,414805878.0,4767.75,3087.75,,Premier Finance
01/01/2023,00:00,776431321.0,3695.0,2000.0,,Fat Face
01/01/2023,00:00,345582855.0,3434.5,1542.5,,Craftastic
01/01/2023,00:00,308068836.0,4300.0,2472.0,,Lavender Primary
01/01/2023,00:00,722971557.0,3614.0,1675.0,,Craftastic
01/01/2023,00:00,183546640.0,2728.5,1842.5,,Brilliant Brushes
01/01/2023,00:00,705848712.0,6390.8,5292.8,,Green Park Academy
01/01/2023,00:00,214339619.0,3149.6,1916.6,,Costa Coffee
01/01/2023,00:00,565175333.0,2905.0,1694.0,,Westport Care Home
01/01/2023,00:00,435313070.0,2584.0,2046.0,,Fat Face
01/01/2023,00:00,426466211.0,2733.1,1620.1,,Starbucks
01/01/2023,00:00,913801979.0,3159.0,1698.0,,North Face
01/01/2023,00:00,994214354.0,3961.0,2999.0,,Fitted Stitch
01/01/2023,00:00,475277431.0,2562.0,1625.0,,Rose & Crown
01/01/2023,00:00,454356905.0,3614.0,2375.0,,Fitted Stitch
01/01/2023,00:00,660874296.0,3884.0,3080.0,,Lavender Primary
01/01/2023,00:00,889916166.0,3608.0,1625.0,,Kings Arms
01/01/2023,00:00,868377987.0,4017.0,3080.0,,Lavender Primary
01/01/2023,00:00,170637730.0,3178.0,2021.0,,A Cut Above
01/01/2023,00:00,878989510.0,3892.0,2472.0,,Sunny Care Nursery
01/01/2023,00:00,104832000.0,3055.0,1675.0,,A Yarn Story
01/01/2023,00:00,259015404.0,3449.0,1633.0,,North Face
01/01/2023,00:00,519644021.0,3184.3,2083.3,,Rose & Crown
01/01/2023,00:00,626989363.0,3978.1,2648.1,,Lavender Primary
01/01/2023,00:00,822135975.0,4424.75,3087.75,,Premier Finance
01/01/2023,00:00,111137699.0,3247.0,1675.0,,Tesco
01/01/2023,00:00,630468201.0,2712.0,1596.0,,Westport Care Home
01/01/2023,00:00,844835978.0,3947.1,2648.1,,Green Park Academy
01/01/2023,00:00,971010829.0,2697.0,2083.0,,Premier Finance
01/01/2023,00:00,713910252.0,4466.0,3080.0,,Lavender Primary
01/01/2023,00:00,663479159.0,3240.0,1750.0,,Costa Coffee
01/01/2023,00:00,424397946.0,4418.0,3080.0,,Green Park Academy
01/01/2023,00:00,724537117.0,2338.0,1819.0,,Westport Care Home
01/01/2023,00:00,973086490.0,3971.0,3168.0,,Fat Face
01/01/2023,00:00,585596026.0,3724.0,2500.0,,Premier Finance
01/01/2023,00:00,767447966.0,2453.0,1675.0,,Tesco
01/01/2023,00:00,322720763.0,3333.0,1821.0,,Premier Finance
01/01/2023,00:00,162162212.0,2651.0,1675.0,,Tesco
01/01/2023,00:00,587202562.0,4358.0,2780.0,,Craftastic
01/01/2023,00:00,427909748.0,3568.0,1625.0,,Kings Arms
01/01/2023,00:00,644751433.0,3689.0,2000.0,,Selfridges
01/01/2023,00:00,198051483.0,3089.5,1542.5,,Craftastic
01/01/2023,00:00,490790931.0,2937.0,1625.0,,Rose & Crown
01/01/2023,00:00,899692478.0,3126.0,1675.0,,A Yarn Story
01/01/2023,00:00,254853117.0,3746.0,2375.0,,Fat Face
01/01/2023,00:00,924045955.0,3024.0,2021.0,,Barbiee Boutique
01/01/2023,00:00,509627909.0,2409.0,1675.0,,Tesco
01/01/2023,00:00,497809732.0,3265.0,1695.0,,Fitted Stitch
01/01/2023,00:00,836110591.0,2858.0,2292.0,,Premier Finance
01/01/2023,00:00,833899961.0,3366.0,2780.0,,A Yarn Story
01/01/2023,00:00,274818272.0,3593.0,1819.0,,Westport Care Home
01/01/2023,00:00,977899503.0,3019.0,1609.0,,Selfridges
01/01/2023,00:00,471897866.0,3338.0,2472.0,,Green Park Academy
01/01/2023,00:00,822250278.0,3862.0,2694.0,,Fat Face
01/01/2023,00:00,549414742.0,3811.0,2694.0,,Selfridges
01/01/2023,00:00,655368335.0,3494.0,1625.0,,The Crown
01/01/2023,00:00,540159353.0,4727.889999999999,3124.89,,Pets Corner
01/01/2023,00:00,633345190.0,4240.0,3080.0,,Sunny Care Nursery
01/01/2023,00:00,336557504.0,3821.66,2841.66,,Lavender Primary
01/01/2023,00:00,534908754.0,2435.0,1706.0,,Westport Care Home
01/01/2023,00:00,711045550.0,2724.1,1620.1,,Costa Coffee
01/01/2023,00:00,408057540.0,4231.66,2841.66,,Green Park Academy
01/01/2023,00:00,793781222.0,2384.0,1825.0,,Selfridges
01/01/2023,00:00,422955974.0,3322.5,1842.5,,Brilliant Brushes
01/01/2023,00:00,131388684.0,5225.0,4375.0,,Premier Finance
01/01/2023,00:00,541639148.0,2962.0,1596.0,,Westport Care Home
01/01/2023,00:00,124125096.0,4613.66,2641.66,,Sunny Care Nursery
01/01/2023,00:00,785210466.0,3714.0,1825.0,,Fitted Stitch
01/01/2023,00:00,255814263.0,4353.0,2999.0,,Selfridges
01/01/2023,00:00,456246119.0,4066.3,2083.3,,Kings Arms
01/01/2023,00:00,489964679.0,6141.8,5292.8,,Sunny Care Nursery
