Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2023,00:00,472213568.0,3012.0,-780.0,283027736.0,
01/01/2023,00:00,283027736.0,1787.0,780.0,472213568.0,
01/01/2023,00:00,768271776.0,2840.0,-780.0,215404070.0,
01/01/2023,00:00,215404070.0,1965.0,780.0,768271776.0,
01/01/2023,00:00,350921975.0,1998.5,-460.0,633362865.0,
01/01/2023,00:00,455831435.0,2603.1,-650.0,442079728.0,
01/01/2023,00:00,442079728.0,2426.0,650.0,455831435.0,
01/01/2023,00:00,172084472.0,1149.0,-1300.0,407574996.0,
01/01/2023,00:00,407574996.0,4451.0,1300.0,172084472.0,
01/01/2023,00:00,442070890.0,3414.1,-660.0,605711527.0,
01/01/2023,00:00,605711527.0,1928.0,660.0,442070890.0,
01/01/2023,00:00,865748375.0,3917.0,-690.0,548907062.0,
01/01/2023,00:00,548907062.0,2513.0,690.0,865748375.0,
01/01/2023,00:00,616924659.0,2072.0,-2220.0,979135922.0,
01/01/2023,00:00,979135922.0,3942.0,2220.0,616924659.0,
01/01/2023,00:00,754141345.0,3040.0,-780.0,412823730.0,
01/01/2023,00:00,412823730.0,1786.0,780.0,754141345.0,
01/01/2023,00:00,119993184.0,2988.0,-430.0,384497904.0,
01/01/2023,00:00,384497904.0,1732.0,430.0,119993184.0,
01/01/2023,00:00,820686957.0,1356.0,-1340.0,744398361.0,
01/01/2023,00:00,744398361.0,2831.0,1340.0,820686957.0,
01/01/2023,00:00,776431321.0,3195.0,-500.0,666952234.0,
01/01/2023,00:00,666952234.0,1880.0,500.0,776431321.0,
01/01/2023,00:00,183546640.0,1988.5,-740.0,143606916.0,
01/01/2023,00:00,143606916.0,2403.0,740.0,183546640.0,
01/01/2023,00:00,565175333.0,2225.0,-680.0,168414279.0,
01/01/2023,00:00,168414279.0,1429.0,680.0,565175333.0,
01/01/2023,00:00,426466211.0,2323.1,-410.0,311467864.0,
01/01/2023,00:00,311467864.0,1617.0,410.0,426466211.0,
01/01/2023,00:00,913801979.0,2519.0,-640.0,108481285.0,
01/01/2023,00:00,108481285.0,1376.0,640.0,913801979.0,
01/01/2023,00:00,660874296.0,2654.0,-1230.0,280098744.0,
01/01/2023,00:00,280098744.0,2105.0,1230.0,660874296.0,
01/01/2023,00:00,889916166.0,2958.0,-650.0,783650950.0,
01/01/2023,00:00,783650950.0,2613.0,650.0,889916166.0,
01/01/2023,00:00,868377987.0,2787.0,-1230.0,828750680.0,
01/01/2023,00:00,828750680.0,2550.0,1230.0,868377987.0,
01/01/2023,00:00,104832000.0,2385.0,-670.0,587923845.0,
01/01/2023,00:00,259015404.0,4049.0,600.0,146383025.0,
01/01/2023,00:00,626989363.0,2938.1,-1040.0,873748574.0,
01/01/2023,00:00,111137699.0,2577.0,-670.0,165098840.0,
01/01/2023,00:00,165098840.0,2241.0,670.0,111137699.0,
01/01/2023,00:00,630468201.0,1432.0,-1280.0,455052690.0,
01/01/2023,00:00,455052690.0,1916.0,1280.0,630468201.0,
01/01/2023,00:00,971010829.0,2067.0,-630.0,657528784.0,
01/01/2023,00:00,657528784.0,2099.0,630.0,971010829.0,
01/01/2023,00:00,713910252.0,3536.0,-930.0,596171893.0,
01/01/2023,00:00,596171893.0,1726.0,930.0,713910252.0,
01/01/2023,00:00,724537117.0,1608.0,-730.0,346874167.0,
01/01/2023,00:00,346874167.0,1380.0,730.0,724537117.0,
01/01/2023,00:00,585596026.0,2784.0,-940.0,287480331.0,
01/01/2023,00:00,287480331.0,1541.0,940.0,585596026.0,
01/01/2023,00:00,978951113.0,1969.0,640.0,384183820.0,
01/01/2023,00:00,587202562.0,3658.0,-700.0,261793952.0,
01/01/2023,00:00,261793952.0,1710.0,700.0,587202562.0,
