Account No,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
101531259,31,12,95.87999999999998,1,4,4,144
104832000,31,43,1357.52,1,2,1,121
105375973,31,22,654.06,1,4,3,143
106601471,31,58,1320.3300000000002,1,1,1,111
108481285,29,18,212.77,1,4,4,144
108563213,31,43,574.62,1,2,3,123
108812033,31,39,567.6700000000001,1,3,3,133
108931112,31,35,441.70000000000005,1,3,3,133
111137699,31,12,191.88000000000002,1,4,4,144
113747882,31,67,1358.3400000000001,1,1,1,111
116598243,31,60,2848.949999999999,1,1,1,111
117273481,29,14,132.81999999999996,1,4,4,144
117308635,31,63,1095.31,1,1,1,111
119943495,31,40,558.51,1,3,3,133
119993184,31,45,625.6100000000001,1,2,3,123
120634201,31,49,947.6600000000001,1,2,2,122
121113546,31,45,642.5500000000001,1,2,3,123
121858569,61,29,994.7,4,4,1,441
122884111,31,24,287.76,1,4,4,144
124102251,31,50,705.52,1,1,2,112
124125096,31,54,694.49,1,1,2,112
124377686,31,24,287.76,1,4,4,144
126929801,31,58,1230.1100000000001,1,1,1,111
127809299,31,42,585.6400000000001,1,2,3,123
128030172,31,12,191.88000000000002,1,4,4,144
128033695,31,53,703.5200000000001,1,1,2,112
129018172,27,66,1218.0,1,1,1,111
130154096,31,37,728.6400000000001,1,3,2,132
130522384,29,52,1829.3700000000001,1,1,1,111
131388684,31,56,712.01,1,1,2,112
132400709,31,57,1352.42,1,1,1,111
133755851,31,57,1441.3700000000001,1,1,1,111
134461671,31,27,423.69,1,4,4,144
134847904,31,38,934.5300000000001,1,3,2,132
135937041,31,49,1454.45,1,2,1,121
136770968,31,50,881.53,1,1,2,112
137822385,25,33,1050.57,1,3,1,131
137913631,31,12,191.88000000000002,1,4,4,144
138351025,31,44,754.6100000000001,1,2,2,122
138969884,31,37,468.68000000000006,1,3,3,133
140893085,31,28,1112.6699999999998,1,4,1,141
142791593,31,34,533.72,1,3,3,133
143003091,31,40,596.5500000000001,1,3,3,133
143061865,31,57,790.29,1,1,2,112
143383029,31,42,949.59,1,2,2,122
145387690,31,67,2637.0299999999997,1,1,1,111
145553416,31,32,406.74,1,3,4,134
146686559,31,15,242.81000000000006,1,4,4,144
146909202,31,40,861.5999999999999,1,3,2,132
147341222,31,53,651.46,1,1,3,113
147474476,31,30,479.69000000000005,1,3,3,133
147508204,31,25,304.74,1,4,4,144
149684419,31,68,1512.99,1,1,1,111
151278285,31,34,581.6800000000001,1,3,3,133
151916463,31,28,476.78000000000003,1,4,3,143
151968462,31,32,1107.62,1,3,1,131
152488934,31,48,1546.43,1,2,1,121
152616936,31,24,287.76,1,4,4,144
154246234,31,18,317.69000000000005,1,4,4,144
155317149,31,53,755.49,1,1,2,112
155867488,31,14,114.84999999999998,1,4,4,144
158414827,31,45,684.47,1,2,2,122
158766229,31,70,1423.0200000000002,1,1,1,111
160166876,31,33,1008.63,1,3,1,131
162162212,31,42,987.51,1,2,1,121
162370388,31,12,191.88000000000002,1,4,4,144
163470640,31,41,647.5500000000001,1,3,3,133
165045150,31,50,2868.7899999999995,1,1,1,111
165098840,31,54,1334.45,1,1,1,111
165691047,31,55,883.49,1,1,2,112
166019891,31,29,461.34000000000003,1,4,3,143
168414279,31,47,672.47,1,2,2,122
169006407,31,40,758.19,1,3,2,132
169689461,31,16,310.72,1,4,4,144
170637730,31,25,303.79,1,4,4,144
172084472,79,24,581.6300000000001,4,4,3,443
173317688,31,47,727.1700000000001,1,2,2,122
173335108,31,41,422.6700000000001,1,3,4,134
175452235,31,34,1048.62,1,3,1,131
176922958,31,23,455.02,1,4,3,143
179173981,31,42,608.6600000000001,1,2,3,123
180616589,31,50,1010.5200000000001,1,1,1,111
180719578,31,30,395.74000000000007,1,3,4,134
183186021,31,12,191.88000000000002,1,4,4,144
183546640,31,44,582.5400000000001,1,2,3,123
183888402,31,48,1179.48,1,2,1,121
184430449,31,53,1394.1300000000003,1,1,1,111
187111705,31,13,208.86000000000004,1,4,4,144
187541224,31,48,1674.02,1,2,1,121
188263947,288,1,53.92,4,4,4,444
189335192,31,41,481.62000000000006,1,3,3,133
189757473,31,30,301.70000000000005,1,3,4,134
190874125,31,46,694.46,1,2,2,122
191161970,31,41,584.5899999999999,1,3,3,133
191992682,31,43,926.6200000000001,1,2,2,122
192202372,31,20,255.84000000000003,1,4,4,144
194023154,31,47,696.48,1,2,2,122
194745206,31,41,843.9000000000001,1,3,2,132
195895574,31,46,893.57,1,2,2,122
196289502,31,48,1177.76,1,2,1,121
197050303,31,34,1000.6,1,3,1,131
197779140,31,31,544.6700000000001,1,3,3,133
197865285,31,24,287.76,1,4,4,144
198051483,31,43,984.56,1,2,1,121
198630866,267,1,16.98,4,4,4,444
198946608,30,15,324.89,1,4,4,144
199016328,31,36,797.62,1,3,2,132
200080192,29,60,1408.0600000000002,1,1,1,111
202320275,31,34,483.68000000000006,1,3,3,133
203466392,31,56,1632.3500000000001,1,1,1,111
204855464,31,42,780.6,1,2,2,122
208381936,31,42,617.53,1,2,3,123
211493028,31,39,490.6700000000001,1,3,3,133
212560376,31,15,125.90999999999997,1,4,4,144
213096759,344,1,57.91,4,4,4,444
213112754,31,44,432.67,1,2,3,123
213930646,31,43,561.5400000000001,1,2,3,123
214339619,31,23,515.77,1,4,3,143
214765415,31,24,287.76,1,4,4,144
215311171,31,58,865.4000000000001,1,1,2,112
215404070,31,46,737.6000000000001,1,2,2,122
215426302,31,43,1057.24,1,2,1,121
215832575,31,22,534.79,1,4,3,143
216285378,31,33,571.7,1,3,3,133
216286013,31,36,943.56,1,3,2,132
217540156,31,44,594.83,1,2,3,123
218795010,61,30,390.77000000000004,4,3,4,434
219399150,31,46,518.45,1,2,3,123
220183538,31,23,279.77000000000004,1,4,4,144
221356538,31,12,191.88000000000002,1,4,4,144
221868392,29,56,1368.67,1,1,1,111
223207876,31,35,992.61,1,3,1,131
224112146,31,40,687.59,1,3,2,132
224215364,31,21,381.80000000000007,1,4,4,144
224524792,31,13,226.83000000000004,1,4,4,144
225210798,31,12,191.88000000000002,1,4,4,144
226703987,31,35,857.65,1,3,2,132
227104649,31,47,1713.42,1,2,1,121
228136274,31,12,95.87999999999998,1,4,4,144
229205098,61,38,1084.5800000000002,4,3,1,431
229502829,31,58,774.3400000000001,1,1,2,112
233981231,31,12,191.88000000000002,1,4,4,144
234952520,31,11,175.89000000000001,1,4,4,144
235310449,31,48,1238.6399999999999,1,2,1,121
235663459,31,60,2448.24,1,1,1,111
235881534,31,44,496.61000000000007,1,2,3,123
237493332,31,41,409.62,1,3,4,134
237684254,31,56,1315.9900000000002,1,1,1,111
240643705,31,44,836.5600000000001,1,2,2,122
241459011,30,67,1136.2100000000003,1,1,1,111
242218612,31,12,95.87999999999998,1,4,4,144
245198540,31,23,405.3900000000001,1,4,4,144
246753533,31,48,631.56,1,2,3,123
248142083,31,43,815.57,1,2,2,122
248625662,31,12,191.88000000000002,1,4,4,144
248658670,31,12,191.88000000000002,1,4,4,144
250895529,30,44,1097.5700000000002,1,2,1,121
