Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,10:21,403765849,1017.09,32.97,Arts & Craft
01/01/2023,10:24,964913066,821.0699999999999,26.97,Arts & Craft
01/01/2023,10:24,340295966,-316.45,42.5,Arts & Craft
01/01/2023,10:25,641764023,351.03,21.98,Arts & Craft
01/01/2023,10:26,836110591,2714.040000000001,1.99,Arts & Craft
01/01/2023,10:28,138609932,691.0,44.0,Arts & Craft
01/01/2023,10:29,690523499,1098.08,9.98,Arts & Craft
01/01/2023,10:42,221868392,1173.02,3.0,Arts & Craft
01/01/2023,10:43,414454079,518.52,16.5,Arts & Craft
01/01/2023,10:47,762859681,1163.04,12.0,Arts & Craft
01/01/2023,10:58,285115279,715.04,15.98,Arts & Craft
01/01/2023,10:58,598793068,501.05999999999995,9.98,Arts & Craft
01/01/2023,11:00,943829984,2139.0400000000004,9.98,Arts & Craft
01/01/2023,11:20,365608668,614.0699999999999,1.99,Arts & Craft
01/01/2023,11:21,848118081,1631.07,21.98,Arts & Craft
01/01/2023,11:59,317161035,1745.07,4.99,Arts & Craft
01/01/2023,12:07,786879739,1827.06,23.97,Arts & Craft
01/01/2023,12:13,642924505,1970.09,11.0,Arts & Craft
01/01/2023,12:16,957821152,2007.0600000000009,17.98,Arts & Craft
01/01/2023,12:19,969804197,814.1299999999999,43.96,Arts & Craft
01/01/2023,12:27,220183538,504.04,16.5,Arts & Craft
01/01/2023,12:44,324046160,937.02,6.0,Arts & Craft
01/01/2023,12:56,552980092,926.08,11.96,Arts & Craft
01/01/2023,13:04,904154012,1596.8640999999998,44.0,Arts & Craft
01/01/2023,13:41,197779140,1224.06,23.97,Arts & Craft
01/01/2023,13:52,423208402,1260.07,23.97,Arts & Craft
01/01/2023,14:21,850290152,1404.362,23.94,Arts & Craft
01/01/2023,14:30,357651163,1350.57,5.5,Arts & Craft
01/01/2023,14:48,915666111,870.09215,7.5,Arts & Craft
01/01/2023,14:51,340680761,439.06999999999994,26.97,Arts & Craft
01/01/2023,14:56,291580432,2245.890000000001,47.94,Arts & Craft
01/01/2023,15:47,117308635,1639.2751999999998,12.0,Arts & Craft
02/01/2023,02:34,690941877,1386.7091582594956,4.35,Arts & Craft
02/01/2023,09:23,475277431,1499.946913550789,9.98,Arts & Craft
02/01/2023,09:25,479456865,1135.41255,4.99,Arts & Craft
02/01/2023,09:27,215832575,826.1078,3.0,Arts & Craft
02/01/2023,09:38,441142605,1182.2627,7.98,Arts & Craft
02/01/2023,09:41,456246119,4301.660250000001,59.98,Arts & Craft
02/01/2023,09:43,384497904,1566.06,11.0,Arts & Craft
02/01/2023,09:47,280098744,1903.38645,35.98,Arts & Craft
02/01/2023,09:58,659415300,525.55,16.5,Arts & Craft
02/01/2023,10:04,688328251,576.06,14.97,Arts & Craft
02/01/2023,10:09,224215364,1528.56,11.0,Arts & Craft
