Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,00:00,355733816,526.0,664.0,Bank
01/01/2023,00:00,472213568,2412.0,600.0,Bank
01/01/2023,00:00,624500124,2572.0,654.0,Bank
01/01/2023,00:00,203466392,3935.66,672.0,Bank
01/01/2023,00:00,768271776,2208.0,632.0,Bank
01/01/2023,00:00,564744955,938.0,572.0,Bank
01/01/2023,00:00,675806859,452.0,648.0,Bank
01/01/2023,00:00,456221621,2167.0,664.0,Bank
01/01/2023,00:00,350921975,1333.5,665.0,Bank
01/01/2023,00:00,331450202,776.0,631.0,Bank
01/01/2023,00:00,455831435,1929.1,674.0,Bank
01/01/2023,00:00,832564361,4776.0,600.0,Bank
01/01/2023,00:00,172084472,-147.0,1296.0,Bank
01/01/2023,00:00,550169791,-281.0,1164.0,Bank
01/01/2023,00:00,141521177,-464.0,1090.0,Bank
01/01/2023,00:00,442070890,2063.1,1351.0,Bank
01/01/2023,00:00,744968736,1860.0,1294.0,Bank
01/01/2023,00:00,865748375,3432.0,485.0,Bank
01/01/2023,00:00,522188082,3071.0,540.0,Bank
01/01/2023,00:00,473820682,1127.0,457.0,Bank
01/01/2023,00:00,786141370,1829.0,1237.0,Bank
01/01/2023,00:00,812839908,262.0,1004.0,Bank
01/01/2023,00:00,503575533,-90.0,965.0,Bank
01/01/2023,00:00,979135922,3391.0,551.0,Bank
01/01/2023,00:00,134461671,1168.0,530.0,Bank
01/01/2023,00:00,430910686,595.0,476.0,Bank
01/01/2023,00:00,618514666,62.0,495.0,Bank
01/01/2023,00:00,361201224,1052.0,665.0,Bank
01/01/2023,00:00,370757362,2644.0,644.0,Bank
01/01/2023,00:00,637433131,1284.0,982.0,Bank
01/01/2023,00:00,754141345,1859.0,1181.0,Bank
01/01/2023,00:00,559995067,349.0,1266.0,Bank
01/01/2023,00:00,119993184,1765.0,1223.0,Bank
01/01/2023,00:00,478986718,-692.0,1278.0,Bank
01/01/2023,00:00,298000165,5565.0,475.0,Bank
01/01/2023,00:00,416060965,866.0,458.0,Bank
01/01/2023,00:00,673025413,869.0,889.0,Bank
01/01/2023,00:00,241459011,1735.1,731.0,Bank
01/01/2023,00:00,403902116,992.0,860.0,Bank
01/01/2023,00:00,604288474,3034.3,912.0,Bank
01/01/2023,00:00,656781737,51.0,917.0,Bank
01/01/2023,00:00,871866387,851.0,706.0,Bank
01/01/2023,00:00,425964226,-95.0,799.0,Bank
01/01/2023,00:00,200080192,3225.0,821.0,Bank
01/01/2023,00:00,519649533,899.0,899.0,Bank
01/01/2023,00:00,183888402,4119.0,847.0,Bank
01/01/2023,00:00,680773155,2060.0,746.0,Bank
01/01/2023,00:00,641764023,381.0,870.0,Bank
01/01/2023,00:00,215426302,2896.5,592.0,Bank
01/01/2023,00:00,386729293,313.0,650.0,Bank
01/01/2023,00:00,285428103,3217.1,598.0,Bank
01/01/2023,00:00,925037906,3202.0,587.0,Bank
01/01/2023,00:00,876890798,153.0,575.0,Bank
01/01/2023,00:00,897714622,1.0,957.0,Bank
01/01/2023,00:00,120634201,-55.0,939.0,Bank
01/01/2023,00:00,892354433,2590.0,1324.0,Bank
01/01/2023,00:00,574548998,513.0,662.0,Bank
01/01/2023,00:00,246753533,1246.0,676.0,Bank
01/01/2023,00:00,744398361,2223.0,608.0,Bank
01/01/2023,00:00,221868392,1218.0,594.0,Bank
01/01/2023,00:00,414805878,4302.75,465.0,Bank
01/01/2023,00:00,874431242,232.0,452.0,Bank
01/01/2023,00:00,776431321,2693.0,502.0,Bank
01/01/2023,00:00,345582855,2895.5,539.0,Bank
01/01/2023,00:00,385685918,280.0,478.0,Bank
01/01/2023,00:00,624563756,193.0,822.0,Bank
01/01/2023,00:00,308068836,3446.0,854.0,Bank
01/01/2023,00:00,722971557,2704.0,910.0,Bank
01/01/2023,00:00,183546640,1105.5,883.0,Bank
01/01/2023,00:00,766692943,169.0,952.0,Bank
01/01/2023,00:00,681955876,482.0,1004.0,Bank
01/01/2023,00:00,462962606,-388.0,1049.0,Bank
01/01/2023,00:00,108931112,585.0,936.0,Bank
01/01/2023,00:00,705848712,5047.8,1343.0,Bank
01/01/2023,00:00,214339619,2164.6,985.0,Bank
01/01/2023,00:00,565175333,1021.0,1204.0,Bank
01/01/2023,00:00,435313070,1436.0,1148.0,Bank
01/01/2023,00:00,426466211,1075.1,1248.0,Bank
01/01/2023,00:00,688328251,724.0,935.0,Bank
01/01/2023,00:00,226703987,186.0,1017.0,Bank
01/01/2023,00:00,853907490,738.0,1110.0,Bank
01/01/2023,00:00,913801979,1878.0,641.0,Bank
01/01/2023,00:00,994214354,3367.0,594.0,Bank
01/01/2023,00:00,598793068,566.0,663.0,Bank
01/01/2023,00:00,475277431,1930.0,632.0,Bank
01/01/2023,00:00,971129830,1084.0,569.0,Bank
01/01/2023,00:00,660874296,2043.0,611.0,Bank
01/01/2023,00:00,138351025,-63.0,570.0,Bank
01/01/2023,00:00,889916166,2345.0,613.0,Bank
01/01/2023,00:00,868377987,2137.0,650.0,Bank
01/01/2023,00:00,170637730,2545.0,633.0,Bank
01/01/2023,00:00,482513594,380.0,650.0,Bank
01/01/2023,00:00,824916823,1067.0,795.0,Bank
01/01/2023,00:00,878989510,3110.0,782.0,Bank
01/01/2023,00:00,480198977,1083.0,731.0,Bank
01/01/2023,00:00,354894456,974.0,753.0,Bank
01/01/2023,00:00,104832000,1524.0,861.0,Bank
01/01/2023,00:00,551196328,151.0,567.0,Bank
01/01/2023,00:00,933491926,3.0,585.0,Bank
01/01/2023,00:00,496674181,914.0,564.0,Bank
01/01/2023,00:00,626989363,2361.1,577.0,Bank
01/01/2023,00:00,822135975,3828.75,596.0,Bank
01/01/2023,00:00,779620857,436.0,614.0,Bank
01/01/2023,00:00,111137699,1917.0,660.0,Bank
01/01/2023,00:00,455052690,1322.0,594.0,Bank
01/01/2023,00:00,844835978,3134.1,813.0,Bank
01/01/2023,00:00,971010829,1252.0,815.0,Bank
01/01/2023,00:00,184430449,839.0,692.0,Bank
01/01/2023,00:00,866941383,288.0,750.0,Bank
01/01/2023,00:00,975345315,346.0,772.0,Bank
01/01/2023,00:00,220183538,694.0,1269.0,Bank
01/01/2023,00:00,713910252,2323.0,1213.0,Bank
01/01/2023,00:00,130154096,366.0,996.0,Bank
01/01/2023,00:00,703478110,-116.0,1201.0,Bank
01/01/2023,00:00,366477356,708.0,1120.0,Bank
01/01/2023,00:00,607629901,-91.0,1193.0,Bank
01/01/2023,00:00,240643705,88.0,998.0,Bank
01/01/2023,00:00,663479159,2196.0,1044.0,Bank
01/01/2023,00:00,424397946,3377.0,1041.0,Bank
01/01/2023,00:00,724537117,432.0,1176.0,Bank
01/01/2023,00:00,221356538,838.0,729.0,Bank
01/01/2023,00:00,886837068,619.0,802.0,Bank
01/01/2023,00:00,461029994,684.0,861.0,Bank
01/01/2023,00:00,121858569,922.0,776.0,Bank
01/01/2023,00:00,973086490,3121.0,850.0,Bank
01/01/2023,00:00,854895960,824.0,1006.0,Bank
01/01/2023,00:00,308897841,-88.0,1219.0,Bank
01/01/2023,00:00,585596026,1846.0,938.0,Bank
01/01/2023,00:00,846550094,272.0,1170.0,Bank
01/01/2023,00:00,706250160,851.0,998.0,Bank
01/01/2023,00:00,817294757,95.0,1359.0,Bank
01/01/2023,00:00,162162212,1256.0,1395.0,Bank
01/01/2023,00:00,314980178,-295.0,1285.0,Bank
01/01/2023,00:00,843174694,-273.0,1300.0,Bank
01/01/2023,00:00,610450243,378.0,1081.0,Bank
01/01/2023,00:00,188263947,645.0,1310.0,Bank
01/01/2023,00:00,587202562,2444.0,1214.0,Bank
01/01/2023,00:00,477216513,367.0,1351.0,Bank
01/01/2023,00:00,596463612,-153.0,1012.0,Bank
01/01/2023,00:00,644751433,1937.0,952.0,Bank
01/01/2023,00:00,348325817,475.0,1209.0,Bank
01/01/2023,00:00,198051483,2075.5,624.0,Bank
01/01/2023,00:00,637649383,1117.0,630.0,Bank
01/01/2023,00:00,486495235,1010.0,631.0,Bank
01/01/2023,00:00,672913754,891.0,745.0,Bank
01/01/2023,00:00,173335108,861.0,839.0,Bank
01/01/2023,00:00,490790931,1826.0,701.0,Bank
01/01/2023,00:00,199016328,1018.0,863.0,Bank
01/01/2023,00:00,324224854,423.0,468.0,Bank
01/01/2023,00:00,137913631,1130.0,476.0,Bank
01/01/2023,00:00,194745206,2657.0,508.0,Bank
01/01/2023,00:00,208381936,107.0,544.0,Bank
01/01/2023,00:00,122884111,325.0,973.0,Bank
01/01/2023,00:00,509627909,778.0,961.0,Bank
01/01/2023,00:00,760753808,-127.0,1071.0,Bank
01/01/2023,00:00,480557476,717.0,947.0,Bank
01/01/2023,00:00,556992209,-73.0,991.0,Bank
01/01/2023,00:00,497809732,1938.0,1327.0,Bank
01/01/2023,00:00,992204045,92.0,508.0,Bank
01/01/2023,00:00,668692488,700.0,543.0,Bank
01/01/2023,00:00,833899961,1726.0,530.0,Bank
01/01/2023,00:00,196289502,961.0,512.0,Bank
01/01/2023,00:00,987163717,881.0,519.0,Bank
01/01/2023,00:00,274818272,2346.0,517.0,Bank
01/01/2023,00:00,977899503,2550.0,469.0,Bank
01/01/2023,00:00,471897866,2839.0,499.0,Bank
01/01/2023,00:00,822250278,3061.0,801.0,Bank
01/01/2023,00:00,655368335,2812.0,682.0,Bank
01/01/2023,00:00,540159353,3806.8899999999994,921.0,Bank
01/01/2023,00:00,633345190,2906.0,1334.0,Bank
01/01/2023,00:00,336557504,2144.66,967.0,Bank
01/01/2023,00:00,534908754,862.0,1143.0,Bank
01/01/2023,00:00,711045550,1348.1,1376.0,Bank
01/01/2023,00:00,492058070,-698.0,1356.0,Bank
01/01/2023,00:00,245198540,620.0,848.0,Bank
01/01/2023,00:00,627936697,763.0,730.0,Bank
01/01/2023,00:00,896821055,620.0,889.0,Bank
01/01/2023,00:00,962295212,780.0,761.0,Bank
01/01/2023,00:00,651372390,-198.0,1222.0,Bank
01/01/2023,00:00,422955974,2233.5,1089.0,Bank
01/01/2023,00:00,158414827,354.0,1296.0,Bank
01/01/2023,00:00,709632525,13.0,1043.0,Bank
01/01/2023,00:00,169689461,1111.0,585.0,Bank
01/01/2023,00:00,903468956,599.0,629.0,Bank
01/01/2023,00:00,809499628,1318.0,645.0,Bank
01/01/2023,00:00,675231808,1339.0,578.0,Bank
01/01/2023,00:00,466649401,384.0,704.0,Bank
01/01/2023,00:00,131388684,4504.0,721.0,Bank
01/01/2023,00:00,449871732,46.0,705.0,Bank
01/01/2023,00:00,129018172,403.0,782.0,Bank
01/01/2023,00:00,769319491,-223.0,864.0,Bank
01/01/2023,00:00,514362267,2057.0,829.0,Bank
01/01/2023,00:00,834581602,52.0,715.0,Bank
01/01/2023,00:00,785210466,3036.0,678.0,Bank
01/01/2023,00:00,255814263,2358.0,795.0,Bank
01/01/2023,00:00,534583529,1332.0,628.0,Bank
01/01/2023,00:00,758160963,241.0,575.0,Bank
