Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,00:00,678330503,2917.0300000000007,18.99,Daily
01/01/2023,00:00,472213568,2275.0300000000007,100.0,Daily
01/01/2023,00:00,283027736,1665.02,100.0,Daily
01/01/2023,00:00,624500124,2520.050000000001,18.99,Daily
01/01/2023,00:00,768271776,2157.040000000001,18.99,Daily
01/01/2023,00:00,215404070,1946.01,18.99,Daily
01/01/2023,00:00,564744955,838.0,100.0,Daily
01/01/2023,00:00,779816907,505.0499999999999,18.99,Daily
01/01/2023,00:00,456221621,2124.0300000000007,18.99,Daily
01/01/2023,00:00,350921975,1255.55,18.99,Daily
01/01/2023,00:00,350921975,1155.55,100.0,Daily
01/01/2023,00:00,836655156,1968.01,18.99,Daily
01/01/2023,00:00,836655156,1825.04,100.0,Daily
01/01/2023,00:00,331450202,722.05,18.99,Daily
01/01/2023,00:00,455831435,1886.13,18.99,Daily
01/01/2023,00:00,455831435,1774.15,100.0,Daily
01/01/2023,00:00,442079728,2407.01,18.99,Daily
01/01/2023,00:00,832564361,4757.01,18.99,Daily
01/01/2023,00:00,832564361,4615.040000000001,100.0,Daily
01/01/2023,00:00,407574996,4335.02,100.0,Daily
01/01/2023,00:00,550169791,-299.99,18.99,Daily
01/01/2023,00:00,141521177,-482.99,18.99,Daily
01/01/2023,00:00,442070890,2036.12,18.99,Daily
01/01/2023,00:00,605711527,1909.01,18.99,Daily
01/01/2023,00:00,744211756,769.04,18.99,Daily
01/01/2023,00:00,744211756,669.04,100.0,Daily
01/01/2023,00:00,474951915,686.01,18.99,Daily
01/01/2023,00:00,780859359,1542.01,18.99,Daily
01/01/2023,00:00,780859359,1434.02,100.0,Daily
01/01/2023,00:00,744968736,1760.0,100.0,Daily
01/01/2023,00:00,494977194,1376.04,18.99,Daily
01/01/2023,00:00,865748375,3376.040000000001,18.99,Daily
01/01/2023,00:00,548907062,2466.040000000001,18.99,Daily
01/01/2023,00:00,548907062,2366.040000000001,100.0,Daily
01/01/2023,00:00,522188082,3028.0300000000007,18.99,Daily
01/01/2023,00:00,786141370,1743.06,18.99,Daily
01/01/2023,00:00,812839908,206.03999999999996,18.99,Daily
01/01/2023,00:00,655730067,683.01,18.99,Daily
01/01/2023,00:00,500051919,587.03,18.99,Daily
01/01/2023,00:00,503575533,-108.99,18.99,Daily
01/01/2023,00:00,503575533,-224.98,100.0,Daily
01/01/2023,00:00,691843653,480.03,18.99,Daily
01/01/2023,00:00,224524792,1616.01,18.99,Daily
01/01/2023,00:00,134461671,1141.02,18.99,Daily
01/01/2023,00:00,134461671,1009.05,100.0,Daily
01/01/2023,00:00,575652395,806.03,18.99,Daily
01/01/2023,00:00,618514666,4.039999999999996,18.99,Daily
01/01/2023,00:00,718058208,1880.04,18.99,Daily
01/01/2023,00:00,370757362,2609.0200000000004,18.99,Daily
01/01/2023,00:00,399144202,2833.0200000000004,18.99,Daily
01/01/2023,00:00,399144202,2733.0200000000004,100.0,Daily
01/01/2023,00:00,637433131,1241.03,18.99,Daily
01/01/2023,00:00,637433131,1128.04,100.0,Daily
01/01/2023,00:00,754141345,1802.03,18.99,Daily
01/01/2023,00:00,754141345,1702.03,100.0,Daily
01/01/2023,00:00,412823730,1662.02,100.0,Daily
