Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,09:16,348525881,549.5799999999999,104.47,Fashion & Clothing
01/01/2023,09:33,220183538,598.53,71.49,Fashion & Clothing
01/01/2023,09:36,311467864,1506.53,74.49,Fashion & Clothing
01/01/2023,09:37,116169597,515.828,46.17,Fashion & Clothing
01/01/2023,09:37,101531259,-63.989999999999995,80.0,Fashion & Clothing
01/01/2023,09:45,348525881,457.61999999999995,91.96,Fashion & Clothing
01/01/2023,09:50,690958123,929.05,118.0,Fashion & Clothing
01/01/2023,09:57,282102606,1431.54,109.5,Fashion & Clothing
01/01/2023,09:58,625658193,1727.944,79.09,Fashion & Clothing
01/01/2023,09:59,311467864,1457.04,49.49,Fashion & Clothing
01/01/2023,10:09,348525881,439.63999999999993,17.98,Fashion & Clothing
01/01/2023,10:11,116169597,357.642,158.19,Fashion & Clothing
01/01/2023,10:11,311467864,1296.06,160.98,Fashion & Clothing
01/01/2023,10:15,285873880,3658.5300000000007,131.49,Fashion & Clothing
01/01/2023,10:23,116169597,117.57,240.07,Fashion & Clothing
01/01/2023,10:23,175452235,854.04,70.0,Fashion & Clothing
01/01/2023,10:23,690958123,861.55,67.5,Fashion & Clothing
01/01/2023,10:30,282102606,1201.54,230.0,Fashion & Clothing
01/01/2023,10:32,197050303,1766.29,111.75,Fashion & Clothing
01/01/2023,10:43,311467864,1185.57,110.49,Fashion & Clothing
01/01/2023,10:44,285873880,3562.540000000001,95.99,Fashion & Clothing
01/01/2023,10:46,690958123,799.05,62.5,Fashion & Clothing
01/01/2023,10:48,175452235,719.64,134.4,Fashion & Clothing
01/01/2023,10:48,660789920,1316.05,35.0,Fashion & Clothing
01/01/2023,10:51,348525881,356.6699999999999,76.98,Fashion & Clothing
01/01/2023,10:55,282102606,1106.54,95.0,Fashion & Clothing
01/01/2023,10:58,151968462,3815.885,82.12,Fashion & Clothing
01/01/2023,10:58,311467864,1133.1,52.47,Fashion & Clothing
01/01/2023,11:05,175452235,462.04,257.6,Fashion & Clothing
01/01/2023,11:11,690958123,669.05,130.0,Fashion & Clothing
01/01/2023,11:13,151968462,3701.885,114.0,Fashion & Clothing
01/01/2023,11:16,311467864,1023.62,109.48,Fashion & Clothing
01/01/2023,11:20,660789920,1253.078,62.97,Fashion & Clothing
01/01/2023,11:20,348525881,266.68999999999994,89.98,Fashion & Clothing
01/01/2023,11:33,660789920,1221.606,31.47,Fashion & Clothing
01/01/2023,11:43,743630833,1825.02,153.0,Fashion & Clothing
01/01/2023,12:00,101531259,-247.99,184.0,Fashion & Clothing
01/01/2023,12:02,175452235,353.54,108.5,Fashion & Clothing
01/01/2023,12:06,220183538,520.54,77.99,Fashion & Clothing
01/01/2023,12:14,660789920,1110.32,111.29,Fashion & Clothing
01/01/2023,12:15,175452235,214.94000000000003,138.6,Fashion & Clothing
01/01/2023,12:15,116169597,-309.336,363.99,Fashion & Clothing
01/01/2023,12:22,625658193,1611.688,90.29,Fashion & Clothing
01/01/2023,12:27,690958123,629.05,40.0,Fashion & Clothing
01/01/2023,12:28,101531259,-446.49,198.5,Fashion & Clothing
01/01/2023,12:28,660789920,1028.4199999999998,81.9,Fashion & Clothing
01/01/2023,12:33,625658193,1397.502,214.19,Fashion & Clothing
01/01/2023,12:38,311467864,895.1199999999999,128.5,Fashion & Clothing
01/01/2023,12:40,660789920,959.12,69.3,Fashion & Clothing
01/01/2023,12:44,116169597,-581.608,272.27,Fashion & Clothing
01/01/2023,12:46,151968462,3590.135,111.75,Fashion & Clothing
01/01/2023,12:52,494156986,493.8819,151.86,Fashion & Clothing
01/01/2023,12:55,224215364,1539.56,139.5,Fashion & Clothing
01/01/2023,12:57,175452235,-184.75999999999996,80.5,Fashion & Clothing
01/01/2023,13:04,660789920,883.5339999999999,75.59,Fashion & Clothing
01/01/2023,13:05,690958123,552.05,77.0,Fashion & Clothing
01/01/2023,13:09,311467864,736.6499999999999,158.47,Fashion & Clothing
01/01/2023,13:11,660789920,696.6479999999999,186.89,Fashion & Clothing
01/01/2023,13:11,282102606,1001.54,105.0,Fashion & Clothing
01/01/2023,13:14,494156986,384.7794,109.1,Fashion & Clothing
01/01/2023,13:16,220183538,473.05999999999995,30.98,Fashion & Clothing
01/01/2023,13:20,690958123,453.5499999999999,98.5,Fashion & Clothing
01/01/2023,13:26,660789920,669.348,27.3,Fashion & Clothing
01/01/2023,13:28,175452235,-271.55999999999995,86.8,Fashion & Clothing
01/01/2023,13:41,282102606,859.04,142.5,Fashion & Clothing
01/01/2023,13:48,220183538,382.5899999999999,90.47,Fashion & Clothing
01/01/2023,14:01,660789920,574.848,94.5,Fashion & Clothing
01/01/2023,14:01,282102606,745.04,114.0,Fashion & Clothing
01/01/2023,14:04,220183538,265.62999999999994,116.96,Fashion & Clothing
01/01/2023,14:08,197050303,1689.79,76.5,Fashion & Clothing
01/01/2023,14:17,660789920,484.5619999999999,90.29,Fashion & Clothing
01/01/2023,14:24,282102606,552.04,193.0,Fashion & Clothing
01/01/2023,14:29,197050303,1581.79,108.0,Fashion & Clothing
01/01/2023,14:30,348525881,182.6899999999999,84.0,Fashion & Clothing
01/01/2023,14:32,224524792,1553.110636407906,46.91,Fashion & Clothing
01/01/2023,14:48,660789920,477.576,6.99,Fashion & Clothing
01/01/2023,14:50,348525881,98.70999999999997,83.98,Fashion & Clothing
01/01/2023,14:56,690958123,351.04999999999995,102.5,Fashion & Clothing
01/01/2023,14:58,311467864,652.6699999999998,83.98,Fashion & Clothing
01/01/2023,15:13,197050303,1529.29,52.5,Fashion & Clothing
01/01/2023,15:14,175452235,-531.9599999999999,260.4,Fashion & Clothing
01/01/2023,15:16,690958123,293.54999999999995,57.5,Fashion & Clothing
01/01/2023,15:27,197050303,1508.665,20.62,Fashion & Clothing
01/01/2023,15:34,175452235,-775.56,243.6,Fashion & Clothing
01/01/2023,15:39,867679563,2236.0300000000007,112.0,Fashion & Clothing
01/01/2023,15:46,690958123,189.54999999999995,104.0,Fashion & Clothing
01/01/2023,15:54,101531259,-550.49,104.0,Fashion & Clothing
01/01/2023,16:06,197050303,1458.04,50.62,Fashion & Clothing
01/01/2023,16:13,867679563,2106.0300000000007,130.0,Fashion & Clothing
01/01/2023,16:13,348525881,-6.780000000000058,105.49,Fashion & Clothing
01/01/2023,16:16,416060965,790.150640489346,51.87,Fashion & Clothing
01/01/2023,16:23,690958123,45.049999999999955,144.5,Fashion & Clothing
01/01/2023,16:23,311467864,621.6999999999998,25.47,Fashion & Clothing
01/01/2023,16:28,101531259,-649.99,99.5,Fashion & Clothing
01/01/2023,16:28,197050303,1296.04,162.0,Fashion & Clothing
01/01/2023,16:50,348525881,-112.75000000000006,105.97,Fashion & Clothing
01/01/2023,16:52,101531259,-778.49,128.5,Fashion & Clothing
01/01/2023,16:55,311467864,427.2199999999998,194.48,Fashion & Clothing
01/01/2023,17:12,175452235,-982.06,206.5,Fashion & Clothing
01/01/2023,17:17,311467864,395.7399999999998,31.48,Fashion & Clothing
01/01/2023,17:32,175452235,-1099.66,117.6,Fashion & Clothing
01/01/2023,17:35,644751433,1676.35755,62.0,Fashion & Clothing
01/01/2023,17:37,311467864,311.7499999999998,83.99,Fashion & Clothing
01/01/2023,17:46,175452235,-1260.66,161.0,Fashion & Clothing
01/01/2023,18:03,175452235,-1334.16,73.5,Fashion & Clothing
01/01/2023,18:03,296770890,2722.4500000000007,174.5,Fashion & Clothing
01/01/2023,18:09,197050303,1179.79,116.25,Fashion & Clothing
01/01/2023,18:17,296770890,2609.960000000001,112.49,Fashion & Clothing
01/01/2023,18:21,175452235,-1417.4599999999998,83.3,Fashion & Clothing
01/01/2023,18:46,197050303,1120.165,59.62,Fashion & Clothing
02/01/2023,02:19,970298834,1930.58187279721,10.48,Fashion & Clothing
02/01/2023,04:26,706361191,597.278298494079,35.77,Fashion & Clothing
02/01/2023,05:07,475277431,1509.926913550789,81.87,Fashion & Clothing
02/01/2023,07:36,979135922,3278.3102428457173,25.37,Fashion & Clothing
02/01/2023,10:17,338022396,1130.79435,64.99,Fashion & Clothing
02/01/2023,10:56,266777719,2540.05,79.0,Fashion & Clothing
02/01/2023,11:21,293191074,391.57814999999994,188.5,Fashion & Clothing
02/01/2023,11:22,266777719,2407.05,133.0,Fashion & Clothing
02/01/2023,11:32,492850697,1649.8700000000003,254.8,Fashion & Clothing
02/01/2023,11:43,266777719,2282.55,124.5,Fashion & Clothing
02/01/2023,11:50,293191074,259.07814999999994,132.5,Fashion & Clothing
02/01/2023,11:57,234952520,1572.6425,96.37,Fashion & Clothing
02/01/2023,12:02,492850697,1413.9700000000005,235.9,Fashion & Clothing
02/01/2023,12:09,492850697,1187.1700000000003,226.8,Fashion & Clothing
02/01/2023,12:18,266777719,2183.05,99.5,Fashion & Clothing
02/01/2023,12:33,266777719,2143.55,39.5,Fashion & Clothing
02/01/2023,12:39,234952520,1458.6574999999998,113.99,Fashion & Clothing
02/01/2023,12:57,266777719,2096.05,47.5,Fashion & Clothing
02/01/2023,13:10,266777719,2027.05,69.0,Fashion & Clothing
02/01/2023,13:17,266777719,1900.05,127.0,Fashion & Clothing
02/01/2023,13:30,266777719,1852.55,47.5,Fashion & Clothing
02/01/2023,13:30,406862520,1647.87905,64.11,Fashion & Clothing
02/01/2023,13:33,492850697,867.2700000000003,319.9,Fashion & Clothing
02/01/2023,13:51,234952520,1252.8318499999996,96.36,Fashion & Clothing
02/01/2023,13:53,406862520,1592.76905,55.11,Fashion & Clothing
02/01/2023,13:55,266777719,1822.55,30.0,Fashion & Clothing
02/01/2023,14:22,446720287,622.07805,25.0,Fashion & Clothing
02/01/2023,14:26,406862520,1526.77655,65.99,Fashion & Clothing
02/01/2023,14:28,266777719,1732.5500000000002,90.0,Fashion & Clothing
02/01/2023,14:45,492850697,614.5700000000004,252.7,Fashion & Clothing
02/01/2023,14:48,293191074,127.07814999999994,132.0,Fashion & Clothing
02/01/2023,15:03,293191074,69.57814999999994,57.5,Fashion & Clothing
02/01/2023,15:34,293191074,-98.92185000000006,168.5,Fashion & Clothing
02/01/2023,15:45,266777719,1693.5500000000002,39.0,Fashion & Clothing
02/01/2023,15:49,234952520,1205.5968499999997,47.23,Fashion & Clothing
02/01/2023,16:03,293191074,-188.4218500000001,89.5,Fashion & Clothing
02/01/2023,16:04,266777719,1599.0500000000002,94.5,Fashion & Clothing
02/01/2023,16:16,234952520,1113.3693499999997,92.23,Fashion & Clothing
02/01/2023,16:31,537487133,1643.12,54.97,Fashion & Clothing
02/01/2023,16:39,293191074,-370.92185000000006,182.5,Fashion & Clothing
02/01/2023,16:41,517934629,1238.83,202.5,Fashion & Clothing
02/01/2023,17:04,517934629,1030.33,208.5,Fashion & Clothing
02/01/2023,17:16,406862520,1461.54905,65.23,Fashion & Clothing
02/01/2023,17:17,517934629,933.33,97.0,Fashion & Clothing
02/01/2023,17:21,252419513,1352.0404,84.98,Fashion & Clothing
02/01/2023,17:28,975345315,94.55999999999996,169.5,Fashion & Clothing
02/01/2023,17:30,990461108,1596.08,239.0,Fashion & Clothing
02/01/2023,17:40,868377987,2079.7147046973123,4.34,Fashion & Clothing
02/01/2023,17:43,726913482,637.4198499999999,45.98,Fashion & Clothing
02/01/2023,17:46,990461108,1431.58,164.5,Fashion & Clothing
02/01/2023,17:46,406862520,1395.57905,65.97,Fashion & Clothing
02/01/2023,17:49,517934629,861.8299999999999,71.5,Fashion & Clothing
02/01/2023,17:50,293191074,-489.92185000000006,119.0,Fashion & Clothing
02/01/2023,17:54,975345315,-99.94000000000004,194.5,Fashion & Clothing
02/01/2023,17:54,534325901,425.05999999999995,179.0,Fashion & Clothing
02/01/2023,17:56,990461108,1371.58,60.0,Fashion & Clothing
02/01/2023,18:03,975345315,-233.44000000000003,133.5,Fashion & Clothing
02/01/2023,18:16,726913482,502.9198499999999,134.5,Fashion & Clothing
02/01/2023,18:29,726913482,442.43984999999986,60.48,Fashion & Clothing
02/01/2023,18:30,990461108,1204.08,167.5,Fashion & Clothing
02/01/2023,18:49,726913482,378.43984999999986,64.0,Fashion & Clothing
02/01/2023,19:45,138609932,507.4471032945849,58.59,Fashion & Clothing
02/01/2023,19:46,213096759,1811.6214253184748,64.61,Fashion & Clothing
02/01/2023,20:54,867987292,486.85278392539897,34.09,Fashion & Clothing
03/01/2023,09:19,248658670,1409.77815,84.99,Fashion & Clothing
03/01/2023,09:24,703537476,948.02035,151.98,Fashion & Clothing
03/01/2023,09:27,621181115,582.13635,40.99,Fashion & Clothing
03/01/2023,09:30,130522384,2254.4900000000007,123.49,Fashion & Clothing
03/01/2023,09:32,215404070,1800.02035,66.99,Fashion & Clothing
03/01/2023,09:33,357651163,1276.77,67.0,Fashion & Clothing
03/01/2023,09:48,429235692,654.2789999999999,29.46,Fashion & Clothing
03/01/2023,09:50,333054026,554.29,79.8,Fashion & Clothing
03/01/2023,09:52,357651163,1228.28,48.49,Fashion & Clothing
03/01/2023,10:03,324046160,731.7338,112.0,Fashion & Clothing
03/01/2023,10:06,548638376,1110.03,31.99,Fashion & Clothing
03/01/2023,10:09,291128777,811.199053712295,31.99,Fashion & Clothing
03/01/2023,10:13,429235692,604.8189999999998,49.46,Fashion & Clothing
03/01/2023,10:17,324046160,565.7338,166.0,Fashion & Clothing
03/01/2023,10:28,546296727,617.6794499999999,145.88,Fashion & Clothing
03/01/2023,10:29,333054026,403.94645,135.8,Fashion & Clothing
03/01/2023,10:30,429235692,540.3189999999998,64.5,Fashion & Clothing
03/01/2023,10:40,554771381,315.6,185.5,Fashion & Clothing
03/01/2023,10:47,357651163,1054.28,174.0,Fashion & Clothing
03/01/2023,10:49,429235692,463.82899999999984,76.49,Fashion & Clothing
03/01/2023,10:50,960208650,3124.6042500000012,78.99,Fashion & Clothing
03/01/2023,10:51,455052690,1038.152793818342,35.0,Fashion & Clothing
03/01/2023,10:54,546296727,559.9294499999999,57.75,Fashion & Clothing
03/01/2023,10:55,554771381,58.00000000000006,257.6,Fashion & Clothing
03/01/2023,11:01,429235692,359.3389999999998,104.49,Fashion & Clothing
03/01/2023,11:04,333054026,169.44645000000006,234.5,Fashion & Clothing
03/01/2023,11:07,621652856,2578.8517500000003,114.75,Fashion & Clothing
03/01/2023,11:12,494977194,1159.06045,63.0,Fashion & Clothing
03/01/2023,11:16,357651163,896.8,157.48,Fashion & Clothing
03/01/2023,11:18,429235692,335.8489999999998,23.49,Fashion & Clothing
03/01/2023,11:20,697140785,1331.57,183.5,Fashion & Clothing
03/01/2023,11:36,494977194,1125.68545,33.38,Fashion & Clothing
03/01/2023,11:44,998390769,2127.800300000001,263.5,Fashion & Clothing
03/01/2023,11:46,160166876,1179.9428458456882,157.98,Fashion & Clothing
03/01/2023,11:49,197050303,1079.175,40.99,Fashion & Clothing
03/01/2023,11:52,429235692,248.8589999999998,86.99,Fashion & Clothing
03/01/2023,11:55,697140785,1192.57,139.0,Fashion & Clothing
03/01/2023,12:06,824218857,1516.59308915457,21.13,Fashion & Clothing
03/01/2023,12:08,429235692,223.8589999999998,25.0,Fashion & Clothing
03/01/2023,12:08,169689461,727.5183,120.48,Fashion & Clothing
03/01/2023,12:12,998390769,1958.3003000000008,169.5,Fashion & Clothing
03/01/2023,12:16,494977194,1058.93545,66.75,Fashion & Clothing
03/01/2023,12:18,554771381,-174.39999999999992,232.4,Fashion & Clothing
03/01/2023,12:33,425730826,1459.3883093887205,5.66,Fashion & Clothing
03/01/2023,12:42,429235692,212.8689999999998,10.99,Fashion & Clothing
03/01/2023,12:47,494977194,982.43545,76.5,Fashion & Clothing
03/01/2023,12:49,621652856,2471.6017500000003,107.25,Fashion & Clothing
03/01/2023,13:07,998390769,1888.3003000000008,70.0,Fashion & Clothing
03/01/2023,13:08,429235692,125.8789999999998,86.99,Fashion & Clothing
03/01/2023,13:08,333054026,-36.35354999999993,205.8,Fashion & Clothing
03/01/2023,13:12,494977194,885.68545,96.75,Fashion & Clothing
03/01/2023,13:27,333054026,-112.65354999999992,76.3,Fashion & Clothing
03/01/2023,13:34,429235692,83.3989999999998,42.48,Fashion & Clothing
03/01/2023,14:00,429235692,70.8989999999998,12.5,Fashion & Clothing
03/01/2023,14:09,333054026,-375.8535499999999,263.2,Fashion & Clothing
03/01/2023,14:18,169689461,660.0382999999999,67.48,Fashion & Clothing
03/01/2023,14:30,130522384,2066.4900000000007,188.0,Fashion & Clothing
03/01/2023,14:31,169689461,549.0582999999999,110.98,Fashion & Clothing
03/01/2023,14:34,429235692,31.4189999999998,39.48,Fashion & Clothing
03/01/2023,14:36,333054026,-442.3535499999999,66.5,Fashion & Clothing
03/01/2023,14:44,130522384,1880.010000000001,186.48,Fashion & Clothing
03/01/2023,15:00,554771381,-450.8999999999999,276.5,Fashion & Clothing
03/01/2023,15:05,169689461,350.5882999999999,198.47,Fashion & Clothing
03/01/2023,15:17,333054026,-589.3535499999999,147.0,Fashion & Clothing
03/01/2023,15:17,130522384,1777.520000000001,102.49,Fashion & Clothing
03/01/2023,15:32,554771381,-756.8,305.9,Fashion & Clothing
03/01/2023,15:35,333054026,-727.95355,138.6,Fashion & Clothing
03/01/2023,15:39,339791565,1242.0208,59.0,Fashion & Clothing
03/01/2023,15:40,108812033,1040.7266499999998,49.99,Fashion & Clothing
03/01/2023,15:57,979892433,191.4076,28.0,Fashion & Clothing
03/01/2023,16:05,936813994,1693.4424767523226,46.34,Fashion & Clothing
03/01/2023,16:17,429235692,-45.561000000000206,76.98,Fashion & Clothing
03/01/2023,16:28,169689461,247.1082999999999,103.48,Fashion & Clothing
03/01/2023,16:29,494977194,841.06045,44.62,Fashion & Clothing
03/01/2023,16:38,429235692,-204.0610000000002,158.5,Fashion & Clothing
03/01/2023,16:41,286484726,-123.32365,69.98,Fashion & Clothing
03/01/2023,16:44,554771381,-901.7,144.9,Fashion & Clothing
03/01/2023,16:52,333054026,-970.15355,242.2,Fashion & Clothing
03/01/2023,17:02,169689461,196.6382999999999,50.47,Fashion & Clothing
03/01/2023,17:03,248625662,1402.1661,77.99,Fashion & Clothing
03/01/2023,17:08,429235692,-217.55100000000024,13.49,Fashion & Clothing
03/01/2023,17:26,494977194,764.93545,76.12,Fashion & Clothing
03/01/2023,17:27,333054026,-1165.45355,195.3,Fashion & Clothing
03/01/2023,17:36,143606916,2129.3131000000003,49.97,Fashion & Clothing
03/01/2023,17:37,554771381,-1134.8,233.1,Fashion & Clothing
03/01/2023,17:41,429235692,-271.03100000000023,53.48,Fashion & Clothing
03/01/2023,17:46,339791565,1095.0208,147.0,Fashion & Clothing
03/01/2023,17:50,859603181,2056.28035,119.98,Fashion & Clothing
03/01/2023,17:57,429235692,-369.02100000000024,97.99,Fashion & Clothing
03/01/2023,17:58,554771381,-1218.8,84.0,Fashion & Clothing
03/01/2023,18:02,494977194,625.06045,139.88,Fashion & Clothing
03/01/2023,18:13,859603181,1980.33035,75.95,Fashion & Clothing
03/01/2023,19:32,358836279,1553.100805773489,44.08,Fashion & Clothing
03/01/2023,20:22,127809299,1461.4036826930271,22.65,Fashion & Clothing
04/01/2023,04:09,516051449,2617.272415739872,34.87,Fashion & Clothing
04/01/2023,04:23,969697937,538.3319343294426,10.1,Fashion & Clothing
04/01/2023,06:57,820686957,1279.999233688804,11.08,Fashion & Clothing
04/01/2023,09:17,655730067,437.24554999999987,37.98,Fashion & Clothing
04/01/2023,09:21,973086490,2888.258600000001,22.0,Fashion & Clothing
04/01/2023,09:29,345514953,-139.99,90.0,Fashion & Clothing
04/01/2023,09:30,691843653,329.5517999999999,22.0,Fashion & Clothing
04/01/2023,09:32,961077907,1557.15,139.97,Fashion & Clothing
04/01/2023,09:32,600585971,1709.6017000000004,129.98,Fashion & Clothing
04/01/2023,09:34,414454079,35.81385000000006,205.07,Fashion & Clothing
04/01/2023,09:35,760704118,3121.804800000001,77.67,Fashion & Clothing
04/01/2023,09:35,544961962,933.0632,51.99,Fashion & Clothing
04/01/2023,09:41,891513205,1189.09,40.99,Fashion & Clothing
04/01/2023,09:41,469561218,1524.4428999999998,79.0,Fashion & Clothing
04/01/2023,09:42,907987693,1063.6733,32.5,Fashion & Clothing
04/01/2023,09:46,345514953,-266.49,126.5,Fashion & Clothing
04/01/2023,09:49,779816907,392.7819999999999,19.98,Fashion & Clothing
04/01/2023,09:50,446720287,592.08805,29.99,Fashion & Clothing
04/01/2023,09:57,907987693,909.6733,154.0,Fashion & Clothing
04/01/2023,10:05,924045955,2779.075300000001,127.99,Fashion & Clothing
04/01/2023,10:10,414454079,-136.33014999999992,172.14,Fashion & Clothing
04/01/2023,10:11,807098817,1406.7103499999998,199.5,Fashion & Clothing
04/01/2023,10:12,760704118,2997.932800000001,123.87,Fashion & Clothing
04/01/2023,10:14,641376155,2286.8230000000012,60.98,Fashion & Clothing
04/01/2023,10:23,223207876,177.25265000000002,76.99,Fashion & Clothing
04/01/2023,10:24,760704118,2913.9608000000007,83.97,Fashion & Clothing
04/01/2023,10:29,402438092,808.1801999999999,9.99,Fashion & Clothing
04/01/2023,10:35,469330905,2830.190000000001,35.0,Fashion & Clothing
04/01/2023,10:37,469561218,1440.4428999999998,84.0,Fashion & Clothing
04/01/2023,10:37,807098817,1349.2103499999998,57.5,Fashion & Clothing
04/01/2023,10:39,337771621,798.8394999999999,49.99,Fashion & Clothing
04/01/2023,10:40,760704118,2858.660800000001,55.3,Fashion & Clothing
04/01/2023,10:41,943829984,2019.1357419409935,53.98,Fashion & Clothing
04/01/2023,10:52,986774156,1194.04,83.99,Fashion & Clothing
04/01/2023,11:02,807098817,1186.2103499999998,163.0,Fashion & Clothing
04/01/2023,11:08,986774156,1012.05,181.99,Fashion & Clothing
04/01/2023,11:31,441142605,1126.2727,55.99,Fashion & Clothing
04/01/2023,11:32,760704118,2595.4748000000004,41.3,Fashion & Clothing
04/01/2023,11:45,414454079,-309.1881499999999,172.86,Fashion & Clothing
04/01/2023,11:46,986774156,937.55,74.5,Fashion & Clothing
04/01/2023,11:47,807098817,1004.2103499999998,182.0,Fashion & Clothing
04/01/2023,11:49,977899503,2204.4635000000007,134.11,Fashion & Clothing
04/01/2023,11:55,760704118,2568.1748,27.3,Fashion & Clothing
04/01/2023,11:55,775790822,1058.66995,129.5,Fashion & Clothing
04/01/2023,11:57,280990953,1223.2928499999998,83.98,Fashion & Clothing
04/01/2023,12:02,986774156,818.06,119.49,Fashion & Clothing
04/01/2023,12:04,807098817,850.2103499999998,154.0,Fashion & Clothing
04/01/2023,12:11,907987693,852.1732999999999,57.5,Fashion & Clothing
04/01/2023,12:18,469561218,1370.4428999999998,70.0,Fashion & Clothing
04/01/2023,12:18,760704118,2555.5888000000004,12.59,Fashion & Clothing
04/01/2023,12:21,548638376,1085.03,25.0,Fashion & Clothing
04/01/2023,12:22,414454079,-399.4881499999999,90.3,Fashion & Clothing
04/01/2023,12:23,986774156,746.5799999999999,71.48,Fashion & Clothing
04/01/2023,12:27,775790822,929.16995,129.5,Fashion & Clothing
04/01/2023,12:30,588565416,1036.5830999999998,148.5,Fashion & Clothing
04/01/2023,12:40,907987693,832.6732999999999,19.5,Fashion & Clothing
04/01/2023,12:42,414454079,-554.1741499999999,154.69,Fashion & Clothing
04/01/2023,12:49,165098840,1844.3377500000008,87.47,Fashion & Clothing
04/01/2023,12:58,775790822,677.16995,252.0,Fashion & Clothing
04/01/2023,13:00,711045550,1042.3438499999995,166.98,Fashion & Clothing
04/01/2023,13:02,907987693,778.1732999999999,54.5,Fashion & Clothing
04/01/2023,13:08,598586358,371.62684999999993,65.98,Fashion & Clothing
04/01/2023,13:09,259015404,3863.0693798583784,87.0,Fashion & Clothing
04/01/2023,13:13,345514953,-465.99,199.5,Fashion & Clothing
04/01/2023,13:18,146686559,1953.947500000001,51.99,Fashion & Clothing
04/01/2023,13:21,615144184,1504.42990480088,61.98,Fashion & Clothing
04/01/2023,13:32,598586358,299.6368499999999,71.99,Fashion & Clothing
04/01/2023,13:33,775790822,618.16995,59.0,Fashion & Clothing
04/01/2023,13:40,259015404,3672.0693798583784,191.0,Fashion & Clothing
04/01/2023,14:08,655450953,1678.37775,109.98,Fashion & Clothing
04/01/2023,14:23,598586358,172.66684999999993,126.97,Fashion & Clothing
04/01/2023,14:29,137913631,930.11065,32.98,Fashion & Clothing
04/01/2023,14:41,598586358,119.67684999999992,52.99,Fashion & Clothing
04/01/2023,14:42,907987693,527.1732999999999,95.0,Fashion & Clothing
04/01/2023,14:48,799286313,-441.2337,82.99,Fashion & Clothing
04/01/2023,15:03,907987693,417.1732999999999,110.0,Fashion & Clothing
04/01/2023,15:12,792845450,319.467,55.97,Fashion & Clothing
04/01/2023,15:23,414454079,-745.24615,191.07,Fashion & Clothing
04/01/2023,15:32,345514953,-540.99,75.0,Fashion & Clothing
04/01/2023,15:33,469561218,1200.9428999999998,169.5,Fashion & Clothing
04/01/2023,15:38,907987693,322.6732999999999,94.5,Fashion & Clothing
04/01/2023,15:42,229502829,1443.58,35.0,Fashion & Clothing
04/01/2023,15:50,985188462,1503.12,22.0,Fashion & Clothing
04/01/2023,15:50,678330503,1851.8817500000005,35.0,Fashion & Clothing
04/01/2023,15:51,807098817,720.7103499999998,129.5,Fashion & Clothing
04/01/2023,16:07,907987693,197.67329999999993,125.0,Fashion & Clothing
04/01/2023,16:11,807098817,653.2103499999998,67.5,Fashion & Clothing
04/01/2023,16:16,744211756,447.7191499999999,71.98,Fashion & Clothing
04/01/2023,16:20,345514953,-710.99,80.0,Fashion & Clothing
04/01/2023,16:25,907987693,58.67329999999993,139.0,Fashion & Clothing
04/01/2023,16:31,581618317,408.402,175.66,Fashion & Clothing
04/01/2023,16:35,496674181,638.9717,66.73,Fashion & Clothing
04/01/2023,16:48,807098817,526.2103499999998,127.0,Fashion & Clothing
04/01/2023,16:51,901432314,2442.934300000001,100.98,Fashion & Clothing
04/01/2023,16:53,452974357,197.67534999999995,93.36,Fashion & Clothing
04/01/2023,17:02,807098817,409.71034999999983,116.5,Fashion & Clothing
04/01/2023,17:02,998405607,1421.483,51.99,Fashion & Clothing
04/01/2023,17:08,496674181,568.4717,70.5,Fashion & Clothing
04/01/2023,17:09,469561218,984.4428999999998,216.5,Fashion & Clothing
04/01/2023,17:11,345514953,-855.49,144.5,Fashion & Clothing
04/01/2023,17:16,452974357,142.94034999999997,54.73,Fashion & Clothing
04/01/2023,17:26,575652395,563.5872999999999,42.98,Fashion & Clothing
04/01/2023,17:27,469561218,820.4428999999998,164.0,Fashion & Clothing
04/01/2023,17:27,907987693,-13.826700000000072,72.5,Fashion & Clothing
04/01/2023,17:27,345514953,-995.49,140.0,Fashion & Clothing
04/01/2023,17:28,780463728,305.3153,118.29,Fashion & Clothing
