Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,05:30,657139925,122.15999999999995,19.89,Food & Drink
01/01/2023,05:41,546760202,840.5699999999999,27.45,Food & Drink
01/01/2023,08:23,391688371,917.81,32.23,Food & Drink
01/01/2023,10:35,310740977,1712.03,7.0,Food & Drink
01/01/2023,11:34,466649401,206.34999999999997,6.7,Food & Drink
01/01/2023,11:49,246753533,1073.55,3.5,Food & Drink
01/01/2023,11:51,469330905,2865.190000000001,2.85,Food & Drink
01/01/2023,13:00,675398089,944.3,3.5,Food & Drink
01/01/2023,13:03,838415080,648.16,2.85,Food & Drink
01/01/2023,13:11,407574996,4088.4212000000007,5.7,Food & Drink
01/01/2023,13:12,559995067,339.81,3.2,Food & Drink
01/01/2023,13:15,856461967,2366.8100000000013,5.3,Food & Drink
01/01/2023,13:15,337184232,467.82,3.2,Food & Drink
01/01/2023,13:21,277562576,1812.06,6.0,Food & Drink
01/01/2023,13:25,585625048,3489.250000000001,7.8,Food & Drink
01/01/2023,13:29,322221939,3552.5700000000006,5.5,Food & Drink
01/01/2023,13:30,797184978,867.64,20.4,Food & Drink
01/01/2023,13:33,291580432,2293.830000000001,5.2,Food & Drink
01/01/2023,13:35,761272540,1505.1999999999998,20.9,Food & Drink
01/01/2023,13:37,370757362,2593.0400000000004,6.0,Food & Drink
01/01/2023,13:39,492850697,1915.8700000000003,5.2,Food & Drink
01/01/2023,13:40,856461967,2360.910000000001,5.9,Food & Drink
01/01/2023,13:47,370757362,2587.74,5.3,Food & Drink
01/01/2023,13:51,492850697,1909.8700000000003,6.0,Food & Drink
01/01/2023,13:55,581655972,6836.370000000001,6.7,Food & Drink
01/01/2023,13:56,581618317,584.06,5.0,Food & Drink
01/01/2023,13:57,469561218,1789.13,4.9,Food & Drink
01/01/2023,13:59,856461967,2355.660000000001,5.25,Food & Drink
01/01/2023,13:59,423208402,1248.27,11.8,Food & Drink
01/01/2023,14:00,344219145,1103.11,5.9,Food & Drink
01/01/2023,14:00,448279144,1626.83205,6.0,Food & Drink
01/01/2023,14:01,668329719,1035.55,3.5,Food & Drink
01/01/2023,14:03,913801979,1701.06,9.0,Food & Drink
01/01/2023,14:08,409370545,1638.04,14.0,Food & Drink
01/01/2023,14:13,299652176,2090.3421,7.0,Food & Drink
01/01/2023,14:13,282046994,1291.11335,10.8,Food & Drink
01/01/2023,14:14,370757362,2581.84,5.9,Food & Drink
01/01/2023,14:14,469561218,1783.2299999999998,5.9,Food & Drink
01/01/2023,14:16,668329719,1028.05,7.5,Food & Drink
01/01/2023,14:18,344219145,1095.11,8.0,Food & Drink
01/01/2023,14:19,719586818,690.52,3.5,Food & Drink
01/01/2023,14:19,913801979,1695.16,5.9,Food & Drink
01/01/2023,14:20,532525712,1807.77,5.25,Food & Drink
01/01/2023,14:21,492850697,1904.6700000000003,5.2,Food & Drink
01/01/2023,14:22,299652176,2084.3421,6.0,Food & Drink
01/01/2023,14:23,621181115,636.10635,3.5,Food & Drink
01/01/2023,14:24,290751280,2079.5200000000004,9.5,Food & Drink
01/01/2023,14:25,198051483,1958.2499000000005,5.5,Food & Drink
01/01/2023,14:26,607629901,-242.15999999999997,3.2,Food & Drink
