Date,Timestamp,Account No,Balance,Amount,Third Party Name
01/01/2023,14:03,932820758,1406.2019332244442,5.8,Medical
02/01/2023,16:42,285873880,3341.642906429696,42.44,Medical
02/01/2023,17:41,409370545,1474.5476467170188,17.82,Medical
03/01/2023,04:10,548907062,2339.2603001513207,9.81,Medical
04/01/2023,04:52,124102251,2544.4214703541356,16.61,Medical
04/01/2023,06:37,578131296,1927.627821150557,1.43,Medical
04/01/2023,22:41,305778936,666.1625378244111,22.32,Medical
06/01/2023,02:03,699313649,944.376700858094,3.33,Medical
06/01/2023,06:48,487051121,1276.884851761502,12.85,Medical
06/01/2023,17:58,822718326,122.93662058096017,4.62,Medical
06/01/2023,22:06,588565416,914.0712885527691,12.54,Medical
07/01/2023,05:53,868033067,772.8771558906496,14.38,Medical
07/01/2023,11:22,385685918,56.39994084155269,59.39,Medical
07/01/2023,12:43,494404688,1123.0784033688592,3.05,Medical
08/01/2023,10:31,422955974,1964.946524781949,18.41,Medical
08/01/2023,10:46,248142083,1115.7050743416746,19.49,Medical
09/01/2023,09:38,478651121,1619.3520673786873,7.81,Medical
09/01/2023,18:42,322221939,3327.472843719078,10.87,Medical
09/01/2023,23:47,460463595,1099.3875545814217,31.52,Medical
10/01/2023,00:23,630691258,1168.6939323077315,30.84,Medical
10/01/2023,06:39,775790822,415.2208307839308,45.08,Medical
10/01/2023,07:05,628470485,2126.5446428446207,9.45,Medical
10/01/2023,07:23,512989907,651.3578603838195,1.96,Medical
11/01/2023,07:06,656317661,1140.7034379526217,12.91,Medical
11/01/2023,08:04,836655156,1623.1910209661978,18.8,Medical
11/01/2023,09:05,344522228,1481.325653507549,1.65,Medical
11/01/2023,18:52,105375973,298.898267154963,69.03,Medical
12/01/2023,13:45,578131296,1581.3820834766495,38.29,Medical
12/01/2023,18:05,724997545,1544.0772565607238,5.05,Medical
12/01/2023,18:49,713910252,1566.7014757285422,60.16,Medical
12/01/2023,20:42,990894155,512.1237429660393,43.26,Medical
12/01/2023,21:00,749378808,3155.659773234847,7.56,Medical
13/01/2023,05:23,350921975,803.0722864648629,43.75,Medical
13/01/2023,06:24,424397946,3065.8233845276623,1.15,Medical
13/01/2023,18:31,673025413,135.95541024240106,78.02,Medical
13/01/2023,21:44,846550094,-61.43141930970525,12.51,Medical
14/01/2023,06:18,984783496,495.3727273922996,17.53,Medical
14/01/2023,07:10,764450279,756.1275479261899,9.97,Medical
14/01/2023,08:48,189335192,1389.5441505390256,35.38,Medical
14/01/2023,09:47,283027736,1360.1492439701733,1.77,Medical
14/01/2023,16:01,807714284,310.9846607360008,21.79,Medical
14/01/2023,16:39,943829984,1783.1959443673193,4.12,Medical
14/01/2023,19:26,361955473,1675.2831350577555,4.34,Medical
14/01/2023,20:12,868033067,409.34556354891754,43.55,Medical
15/01/2023,06:43,912584712,654.8829788157395,4.37,Medical
15/01/2023,15:11,508518911,561.4307502790116,27.73,Medical
15/01/2023,16:59,435313070,523.9674386203637,46.73,Medical
15/01/2023,19:34,482513594,127.77088017427546,1.56,Medical
16/01/2023,02:03,828532554,1073.1878127845926,3.9,Medical
16/01/2023,07:26,355602925,1384.532771462851,0.64,Medical
16/01/2023,11:22,133755851,-25.15309106030695,9.5,Medical
17/01/2023,04:19,499244466,1764.689015206057,0.12,Medical
17/01/2023,06:19,867679563,1781.5952470944949,34.12,Medical
17/01/2023,10:09,734161378,222.5308387293848,4.93,Medical
17/01/2023,14:48,536924114,1456.27703469142,34.75,Medical
17/01/2023,19:10,284161641,1525.4365304849637,19.4,Medical
18/01/2023,07:02,890567652,1356.2495496796007,40.83,Medical
18/01/2023,08:51,889916166,1630.4896216797893,36.06,Medical
18/01/2023,15:44,750898750,1085.6440346800996,16.32,Medical
19/01/2023,05:20,151968462,3155.434996396637,26.44,Medical
19/01/2023,07:13,684988568,1519.221325336713,37.3,Medical
19/01/2023,12:31,659008214,1348.81407769907,28.27,Medical
19/01/2023,17:07,147341222,796.4888858693654,5.52,Medical
20/01/2023,05:33,548638376,934.1539642668976,3.26,Medical
20/01/2023,05:34,641376155,1992.8132189898668,7.17,Medical
20/01/2023,05:38,651756497,1023.0594281964344,8.22,Medical
20/01/2023,08:53,344843570,256.72318581153587,8.9,Medical
20/01/2023,08:59,219399150,593.4130457061145,40.76,Medical
20/01/2023,13:44,965038148,1829.9325882991525,22.27,Medical
20/01/2023,16:06,871200314,526.8612577708051,51.36,Medical
21/01/2023,10:53,541639148,1995.388405269046,3.67,Medical
21/01/2023,15:20,383625050,2068.4916657105005,3.47,Medical
22/01/2023,01:49,885259672,1610.4588862450128,17.74,Medical
22/01/2023,02:28,822135975,2861.782274651795,15.2,Medical
22/01/2023,05:11,221868392,820.6502309145899,29.02,Medical
22/01/2023,06:55,407574996,3357.7574332744916,1.26,Medical
23/01/2023,04:15,939972497,734.1820645418279,25.93,Medical
23/01/2023,04:20,596463612,1024.7185452748604,55.6,Medical
23/01/2023,07:12,719742742,1921.074042617323,62.84,Medical
23/01/2023,10:43,518746136,510.9730174629324,0.14,Medical
23/01/2023,15:48,779620857,-153.03795189076405,52.76,Medical
23/01/2023,17:48,165045150,-498.6108385971434,76.98,Medical
23/01/2023,18:07,979135922,-91.24436519153068,24.02,Medical
24/01/2023,05:29,585596026,1102.9561262970824,6.57,Medical
24/01/2023,07:37,478651121,849.0939795984705,5.44,Medical
24/01/2023,08:59,446720287,155.60220607237264,39.1,Medical
24/01/2023,10:45,816685391,771.1940962915737,4.23,Medical
24/01/2023,14:57,719742742,1892.9138332488835,28.16,Medical
25/01/2023,09:51,836655156,1157.844279841458,79.59,Medical
25/01/2023,18:49,104832000,323.18684109415454,7.31,Medical
25/01/2023,19:19,616924659,700.6241766850691,44.08,Medical
26/01/2023,07:51,824916823,321.67940125158805,5.22,Medical
26/01/2023,14:11,828750680,818.6219952136829,11.13,Medical
26/01/2023,20:54,779620857,-225.81859638517557,72.78,Medical
27/01/2023,15:55,970298834,483.12459305529035,45.46,Medical
27/01/2023,17:33,705848712,4151.499195660203,18.99,Medical
28/01/2023,09:38,642924505,1462.6803898353485,9.01,Medical
29/01/2023,18:32,930271460,1011.0201345252289,26.84,Medical
29/01/2023,21:32,654329190,1691.69073596051,5.03,Medical
30/01/2023,02:31,719742742,1720.002848024798,73.1,Medical
30/01/2023,07:44,347110339,827.9364891859362,63.25,Medical
30/01/2023,09:09,821971408,1444.8425403748902,58.19,Medical
30/01/2023,17:02,137822385,802.942840406098,14.64,Medical
31/01/2023,06:26,215832575,1292.064036255781,31.92,Medical
01/02/2023,05:47,336557504,1699.4568178180384,72.39,Medical
01/02/2023,09:11,298000165,7808.614079129763,26.0,Medical
01/02/2023,10:32,578131296,1329.258369444045,6.68,Medical
01/02/2023,20:07,724997545,845.034491997782,29.5,Medical
02/02/2023,02:22,191992682,468.4245397079353,24.9,Medical
02/02/2023,18:19,854895960,1361.7402154720648,26.8,Medical
02/02/2023,18:35,656317661,490.7517363960297,18.65,Medical
02/02/2023,18:54,472213568,1740.777190402309,8.57,Medical
03/02/2023,07:05,760704118,2019.708299140442,37.79,Medical
03/02/2023,07:35,345582855,3012.029731661565,4.87,Medical
03/02/2023,11:05,979122276,363.5085173577685,16.19,Medical
03/02/2023,20:42,865748375,3377.112108662084,3.69,Medical
04/02/2023,06:33,719742742,2164.8373426467774,2.65,Medical
04/02/2023,07:39,706250160,2544.860125085941,69.88,Medical
04/02/2023,12:04,662610817,648.9397686750729,27.44,Medical
04/02/2023,16:49,604288474,3532.0440069605565,19.74,Medical
04/02/2023,17:52,668692488,390.6818497075836,26.91,Medical
05/02/2023,05:47,310740977,1033.7340803383747,6.05,Medical
05/02/2023,07:23,930277104,2357.542152398449,34.72,Medical
06/02/2023,05:42,679911053,3095.8088070040058,13.2,Medical
06/02/2023,08:37,521611005,1751.6362958533673,17.13,Medical
06/02/2023,09:20,892354433,2061.1596908317747,28.52,Medical
06/02/2023,09:26,663479159,1644.7723027967745,40.69,Medical
06/02/2023,11:13,446720287,424.7417908184069,6.56,Medical
06/02/2023,17:38,129018172,909.4902938210632,54.58,Medical
06/02/2023,20:08,147474476,2753.0636792239584,27.25,Medical
07/02/2023,09:46,168414279,337.58729286008514,2.42,Medical
07/02/2023,17:51,315546581,4366.105305845644,57.63,Medical
08/02/2023,07:04,466649401,252.6425912874254,50.01,Medical
08/02/2023,16:36,108481285,2213.9357945769966,15.06,Medical
08/02/2023,17:48,454129843,3290.3838696207827,28.72,Medical
09/02/2023,07:10,604870380,268.8565168947617,3.51,Medical
11/02/2023,09:14,887853850,4956.532763275538,40.9,Medical
11/02/2023,12:32,749378808,4616.720651665071,3.22,Medical
12/02/2023,10:10,913127700,1588.549357147518,79.98,Medical
12/02/2023,17:38,129018172,864.1787351573689,23.34,Medical
13/02/2023,01:27,737547541,1086.546662121354,13.94,Medical
14/02/2023,09:52,749378808,4571.948936974208,8.05,Medical
